,Created At,Screen Name,Tweet,Location,Number of Retweet,Number of Like
48,2021-04-27 18:44:56,elizabethnnmlls,watashi wa mada anata o aishiteimasu 🥺,,0,0
49,2021-04-27 18:42:36,shilpanova,@ShiriRaval Watashi wa meow shinde imasu,pawchester,0,1
50,2021-04-27 18:40:44,TinyWeeaboo,watashi wa dark mistress kawaii pocky neko desu inu tori chan,sugoi nippon,0,0
51,2021-04-27 18:40:43,watashi__dakara,PTDTRAHDUAJ https://t.co/pNUTYLBAWI,"姫路城, Himeji-jō",1,1
52,2021-04-27 18:38:42,xinyanq,"@JPFBASE apa?! anata suki suki daisuki sama watashi?! gomenne... watashi udah punya kanojo, urusai baka :""v",,0,0
53,2021-04-27 18:36:29,xinyanq,"@JPFBASE ARRRGH T-TANGAN WATASHI... tangan watashi sangat sakit-desu, apakah ini tanda kekuatan watashi sudah mulai… https://t.co/HSZh0TiNmd",,0,0
54,2021-04-27 18:36:00,AiminPublic,Penat lah aku cari siapa Watashi diorang dok panggil dalam space ni. Rupanya Panpan je 😂😂,,0,3
55,2021-04-27 18:35:46,StormtrooperE10,Watashi nomu asaki,,0,0
56,2021-04-27 18:34:51,ASahario,@watashi_NoUso Kan kan,SC: asahario; tiada Facebook,0,0
57,2021-04-27 18:34:45,qq09889,@_du_21 Watashi,별다섯개,0,0
58,2021-04-27 18:32:34,Sevindik_Aykut,@rosepink00028 H💜nii kon'nichiwa. Anata wa hontooni subarashii to utsukushiidesu. Soshite totemou sekushidesu. Wata… https://t.co/pyRkHwMQwC,"JAPAN, Yokohama",0,0
